ID,NOMBRE,CATEGORIA,PRECIO_COMPRA,PRECIO_VENTA,STOCK,DESCRIPCION,URL_IMAGEN
1,Palta Hass,Feria,3500,4990,50,"Palta gran calibre origen peruano",https://loremflickr.com/320/240/avocado?random=1
2,Tomate Larga Vida,Feria,800,1200,80,"Tomate rojo primera selección",https://loremflickr.com/320/240/tomato?random=2
3,Limón de Pica,Feria,1500,2200,30,"Limón de pica ideal para tragos",https://loremflickr.com/320/240/lamon?random=3
4,Cebolla Guarda,Feria,700,1100,100,"Cebolla de campo firme",https://loremflickr.com/320/240/onion?random=4
5,Papa Leona,Feria,500,800,150,"Papa seleccionada chilena fresca",https://loremflickr.com/320/240/potato?random=5
6,Choclo Húngaro,Feria,400,700,40,"Choclo grande tierno",https://loremflickr.com/320/240/corn?random=6
7,Manzana Fuji,Feria,900,1400,60,"Manzana dulce crocante",https://loremflickr.com/320/240/apple?random=7
8,Plátano Ecuador,Feria,1000,1490,90,"Plátano amarillo importado",https://loremflickr.com/320/240/banana?random=8
9,Lechuga Escarola,Feria,600,990,20,"Lechuga fresca del día",https://loremflickr.com/320/240/lettuce?random=9
10,Zanahoria a Granel,Feria,600,900,45,"Zanahoria limpia sin hojas",https://loremflickr.com/320/240/carrot?random=10
11,Uva Red Globe,Feria,1800,2690,25,"Uva extra dulce",https://loremflickr.com/320/240/grapes?random=11
12,Naranja Nacional,Feria,850,1200,70,"Para jugo fresco",https://loremflickr.com/320/240/orange?random=12
13,Pimentón Rojo,Feria,600,900,30,"Pimentón primera unidad",https://loremflickr.com/320/240/pepper?random=13
14,Ajo Chilote,Feria,200,450,100,"Cabeza de ajo grande",https://loremflickr.com/320/240/garlic?random=14
15,Frutilla Cesta,Feria,1800,2990,20,"Cesta 500g frutilla de la zona",https://loremflickr.com/320/240/strawberry?random=15
39,Té Club Premium 50 bolsitas,Desayuno,2100,2890,60,"Sabor intenso negro",https://loremflickr.com/320/240/cup,tea?random=39
40,Milo Nestlé Tarro 400g,Desayuno,2800,3990,50,"Bebida achocolatada",https://loremflickr.com/320/240/chocolate,drink?random=40
41,Avena Quaker Tradicional 500g,Desayuno,1200,1690,70,"Avena integral entera",https://loremflickr.com/320/240/oats?random=41
42,Cereal Chocapic Nestlé 400g,Desayuno,2500,3600,80,"Ondas de chocolate",https://loremflickr.com/320/240/cereal,bowl?random=42
43,Cereal Trix Nestlé Frutal 300g,Desayuno,2400,3450,50,"Figuras frutales infantiles",https://loremflickr.com/320/240/cereal,colors?random=43
44,Manjarate Soprole Pote,Desayuno,650,950,40,"Mousse tradicional",https://loremflickr.com/320/240/mousse,dessert?random=44
45,Mantequilla Colun Pan 250g,Desayuno,2200,2990,60,"Mantequilla del sur con sal",https://loremflickr.com/320/240/butter?random=45
46,Margarina Soprole Pote 500g,Desayuno,1300,1890,90,"Suave y untable",https://loremflickr.com/320/240/margarine?random=46
47,Mermelada Watt's Durazno 250g,Desayuno,900,1290,60,"Mermelada en vaso de vidrio",https://loremflickr.com/320/240/jam,peach?random=47
48,Mermelada Frutilla En Línea,Desayuno,1200,1690,40,"Sin azúcar añadida",https://loremflickr.com/320/240/jam,strawberry?random=48
49,Pan Integral Ideal Molde 500g,Desayuno,1800,2400,35,"Pan sano multicereal",https://loremflickr.com/320/240/sliced,bread,wheat?random=49
50,Pan Blanco Castaño Molde,Desayuno,1600,2190,45,"Blanco tradicional suave",https://loremflickr.com/320/240/sliced,bread?random=50
51,Pan Marraqueta Blanca,Panadería,1300,1990,30,"Crujiente recién horneada",https://loremflickr.com/320/240/bread,bakery?random=51
52,Pan Hallulla Tradicional,Panadería,1300,1990,35,"Hallulla mantecosa especial",https://loremflickr.com/320/240/round,bread?random=52
53,Pan Coliza,Panadería,1350,2100,10,"Coliza tradicional campo",https://loremflickr.com/320/240/bread?random=53
54,Pan Integral,Panadería,1500,2300,15,"Alto en fibra",https://loremflickr.com/320/240/whole,bread?random=54
55,Dobladitas,Panadería,1600,2400,12,"Clásicas dobladitas chilensis",https://loremflickr.com/320/240/pastry?random=55
56,Leche Colun Entera 1L,Lácteos,900,1250,120,"Leche de vaca del sur",https://loremflickr.com/320/240/milk,carton?random=56
57,Leche Soprole Descremada 1L,Lácteos,850,1200,100,"Leche baja en grasas",https://loremflickr.com/320/240/milk,splash?random=57
58,Yoghurt Soprole Batido Frutilla,Lácteos,250,380,200,"Yoghurt tradicional pote",https://loremflickr.com/320/240/yogurt,strawberry?random=58
59,Yoghurt Colun Vainilla Pote,Lácteos,280,420,150,"Cremosidad del sur",https://loremflickr.com/320/240/yogurt?random=59
60,Yoghurt Protein+ Soprole,Lácteos,550,850,80,"Alta proteína",https://loremflickr.com/320/240/greek,yogurt?random=60
61,Quesillo Colun Regular,Lácteos,1800,2490,40,"Fresco y natural",https://loremflickr.com/320/240/white,cheese?random=61
62,Leche Cultivada Soprole 1L,Lácteos,1300,1850,50,"Con probióticos",https://loremflickr.com/320/240/fermented,milk?random=62
63,Postre Chamyto Frutilla (Pack 6),Lácteos,1400,2100,45,"Probióticos para la guata",https://loremflickr.com/320/240/milk,drink?random=63
64,Probiótico Uno Al Día,Lácteos,1600,2300,30,"Defensas activas",https://loremflickr.com/320/240/yogurt,bottle?random=64
65,Crema Soprole Caja 200ml,Lácteos,950,1350,80,"Crema líquida de leche",https://loremflickr.com/320/240/cream,box?random=65
66,Queso Gouda Soprole,Fiambrería,6500,8990,15,"Mantecoso estándar",https://loremflickr.com/320/240/gouda,cheese?random=66
67,Queso Chacra Llanquihue,Fiambrería,7000,9500,10,"Blanco tradicional",https://loremflickr.com/320/240/fresh,cheese?random=67
68,Jamón Pierna San Jorge,Fiambrería,5500,7900,20,"Jamón extra fino",https://loremflickr.com/320/240/ham?random=68
69,Jamón Pavo Receta del Abuelo,Fiambrería,7500,9990,12,"Para dietas ligeras",https://loremflickr.com/320/240/turkey,ham?random=69
70,Salame Ahumado PF,Fiambrería,8500,11500,8,"Corte delgado italiano",https://loremflickr.com/320/240/salami?random=70
71,Mortadela Lisa PF,Fiambrería,3500,4990,25,"Ideal para colaciones",https://loremflickr.com/320/240/bologna?random=71
72,Arrollado Huaso Cecinas Llanquihue,Fiambrería,8000,10500,10,"El real chileno con ají",https://loremflickr.com/320/240/pork,meat?random=72
73,Pate de Ternera La Crianza,Fiambrería,2200,3100,10,"Pate de campo importado",https://loremflickr.com/320/240/pate?random=73
74,Chorizo Parrillero San Jorge,Fiambrería,6000,8500,18,"Ideal asados",https://loremflickr.com/320/240/chorizo?random=74
75,Vienesa Tradicional PF,Fiambrería,2800,3990,35,"Para hot dogs y completos",https://loremflickr.com/320/240/hotdog?random=75
76,Lomo Vetado V,Carnicería,9500,13990,20,"El mejor para asados",https://loremflickr.com/320/240/steak?random=76
77,Posta Rosada Vacuno,Carnicería,7000,9900,25,"Ideal horno o cacerola",https://loremflickr.com/320/240/beef,meat?random=77
78,Huachalomo de Campo,Carnicería,6500,8990,30,"Para parrilladas económicas",https://loremflickr.com/320/240/raw,meat?random=78
79,Asado de Tira,Carnicería,8500,11990,15,"Sabor intenso con hueso",https://loremflickr.com/320/240/ribs?random=79
80,Pechuga Pollo Entera,Carnicería,3500,4990,40,"Pollo fresco sin marinar",https://loremflickr.com/320/240/chicken,breast?random=80
81,Trutro Entero Súper Pollo,Carnicería,2800,4100,35,"Frescos a granel",https://loremflickr.com/320/240/chicken,leg?random=81
82,Filete de Salmón Fresco,Carnicería,12000,16500,10,"Salmón del sur premium",https://loremflickr.com/320/240/salmon?random=82
83,Merluza Española Filet,Carnicería,4500,6500,15,"Para frituras",https://loremflickr.com/320/240/fish,fillet?random=83
84,Cerdo Chuleta Centro,Carnicería,4500,6500,20,"Corte magro y sabroso",https://loremflickr.com/320/240/pork,chop?random=84
85,Costillar Cerdo Aliñado,Carnicería,6000,8500,18,"Estilo chileno",https://loremflickr.com/320/240/pork,ribs?random=85
86,Coca-Cola Original 3L,Bebidas,2300,3100,150,"Botella desechable",https://loremflickr.com/320/240/coca,cola?random=86
87,Coca-Cola Zero 3L,Bebidas,2300,3100,120,"Sin azúcar",https://loremflickr.com/320/240/cola,drink?random=87
88,Sprite 3L,Bebidas,2100,2800,80,"Sabor limón ultra fresca",https://loremflickr.com/320/240/sprite,drink?random=88
89,Fanta Naranja 3L,Bebidas,2100,2800,60,"Sabor naranja",https://loremflickr.com/320/240/fanta,drink?random=89
90,Kem Piña 1.5L,Bebidas,1200,1650,50,"Cultura chilena pop",https://loremflickr.com/320/240/pineapple,soda?random=90
91,Papaya Pap 1.5L,Bebidas,1200,1650,50,"Clásica papaya nacional",https://loremflickr.com/320/240/papaya,soda?random=91
92,Jugo Watt's Durazno 1.5L,Bebidas,1300,1750,90,"Jugo néctar botella",https://loremflickr.com/320/240/peach,juice?random=92
93,Jugo Andina del Valle Naranja 1.5L,Bebidas,1350,1800,70,"Bebida de jugo",https://loremflickr.com/320/240/orange,juice?random=93
94,Cachantun Con Gas 1.6L,Bebidas,800,1150,120,"Agua mineral extraída en Chile",https://loremflickr.com/320/240/sparkling,water?random=94
95,Vital Sin Gas 1.6L,Bebidas,750,1050,110,"Purificada embotellada",https://loremflickr.com/320/240/water,bottle?random=95
96,Cerveza Cristal Lata 473cc,Bebidas,600,950,200,"Cerveza nuestra",https://loremflickr.com/320/240/beer,can?random=96
97,Cerveza Escudo Lata 473cc,Bebidas,650,1000,150,"Más grado alcohólico",https://loremflickr.com/320/240/beer?random=97
98,Cerveza Royal Guard Lata,Bebidas,4500,5990,30,"Premium nacional",https://loremflickr.com/320/240/premium,beer?random=98
99,Pisco Mistral 35 Grados 1L,Bebidas,6500,8900,20,"Añejado en roble",https://loremflickr.com/320/240/pisco,bottle?random=99
100,Vino Casillero del Diablo,Bebidas,3500,4800,40,"Reserva Carmenere",https://loremflickr.com/320/240/red,wine?random=100
101,Papas Lays Clásicas 250g,Snacks,1800,2400,60,"Papas saladas",https://loremflickr.com/320/240/potato,chips?random=101
102,Ramitas de Queso Evercrisp,Snacks,1500,2100,50,"Clásicas de cumpleaños",https://loremflickr.com/320/240/cheese,snacks?random=102
103,Doritos Queso 160g,Snacks,1600,2200,40,"Tortillas crocantes",https://loremflickr.com/320/240/doritos?random=103
104,Mani Salado Marco Polo,Snacks,1100,1500,70,"Ideal pichangas",https://loremflickr.com/320/240/peanuts?random=104
105,Galletas Tritón Vainilla,Snacks,600,850,100,"Negritas con relleno",https://loremflickr.com/320/240/chocolate,cookies?random=105
106,Galletas Tuareg Coco 130g,Snacks,650,900,80,"Bañadas estilo artesanal",https://loremflickr.com/320/240/coco,cookies?random=106
107,Galletas McKay Vino 150g,Snacks,500,750,120,"Clásicas para colación",https://loremflickr.com/320/240/biscuit?random=107
108,Galletas Frac Chocolate 130g,Snacks,700,950,90,"Doble chocolate",https://loremflickr.com/320/240/oreo,cookie?random=108
109,Super 8 Nestlé,Snacks,4500,6000,15,"Obsequio clásico chileno",https://loremflickr.com/320/240/wafer,chocolate?random=109
110,Chocolate Costa Rama,Snacks,1800,2400,30,"Hojuelas de chocolate",https://loremflickr.com/320/240/chocolate,bar?random=110
111,Chubi Nestlé Tubo,Snacks,400,600,100,"Confites de chocolate color",https://loremflickr.com/320/240/candy,chocolates?random=111
112,Gomitas Ambrosoli Osa,Snacks,900,1250,60,"Sabores frutales surtidos",https://loremflickr.com/320/240/gummy,bears?random=112
113,Alfajor Lagos del Sur,Snacks,1800,2500,25,"Bañados en torta",https://loremflickr.com/320/240/alfajor?random=113
114,Vizzio Costa Almendras 120g,Snacks,2200,2900,30,"Almendras bañadas 100%",https://loremflickr.com/320/240/almond,chocolate?random=114
115,Cheezels Queso Snack,Snacks,1100,1500,40,"Aros sabor queso maduro",https://loremflickr.com/320/240/chips,ring?random=115
116,Néctar Andina Manzana 1.5L,Bebidas,1350,1800,50,"Jugo de Manzana fresco",https://loremflickr.com/320/240/manzana,juice?random=116
117,Sobre Jugo Zuko Manzana,Desayuno,200,350,200,"Rinde 1 litro de Manzana",https://loremflickr.com/320/240/powder,juice?random=117
118,Sobre Jugo Livean Manzana,Desayuno,250,400,180,"Diet de Manzana",https://loremflickr.com/320/240/diet,beverage?random=118
119,Néctar Andina Piña 1.5L,Bebidas,1350,1800,50,"Jugo de Piña fresco",https://loremflickr.com/320/240/piña,juice?random=119
120,Sobre Jugo Zuko Piña,Desayuno,200,350,200,"Rinde 1 litro de Piña",https://loremflickr.com/320/240/powder,juice?random=120
121,Sobre Jugo Livean Piña,Desayuno,250,400,180,"Diet de Piña",https://loremflickr.com/320/240/diet,beverage?random=121
122,Néctar Andina Frutilla 1.5L,Bebidas,1350,1800,50,"Jugo de Frutilla fresco",https://loremflickr.com/320/240/frutilla,juice?random=122
123,Sobre Jugo Zuko Frutilla,Desayuno,200,350,200,"Rinde 1 litro de Frutilla",https://loremflickr.com/320/240/powder,juice?random=123
124,Sobre Jugo Livean Frutilla,Desayuno,250,400,180,"Diet de Frutilla",https://loremflickr.com/320/240/diet,beverage?random=124
125,Néctar Andina Mango 1.5L,Bebidas,1350,1800,50,"Jugo de Mango fresco",https://loremflickr.com/320/240/mango,juice?random=125
126,Sobre Jugo Zuko Mango,Desayuno,200,350,200,"Rinde 1 litro de Mango",https://loremflickr.com/320/240/powder,juice?random=126
127,Sobre Jugo Livean Mango,Desayuno,250,400,180,"Diet de Mango",https://loremflickr.com/320/240/diet,beverage?random=127
128,Néctar Andina Tutti Frutti 1.5L,Bebidas,1350,1800,50,"Jugo de Tutti Frutti fresco",https://loremflickr.com/320/240/tutti frutti,juice?random=128
129,Sobre Jugo Zuko Tutti Frutti,Desayuno,200,350,200,"Rinde 1 litro de Tutti Frutti",https://loremflickr.com/320/240/powder,juice?random=129
130,Sobre Jugo Livean Tutti Frutti,Desayuno,250,400,180,"Diet de Tutti Frutti",https://loremflickr.com/320/240/diet,beverage?random=130
131,Masticable 1/2 Hora,Snacks,300,500,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=131
132,Serranita McKay,Snacks,300,550,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=132
133,Carioca McKay,Snacks,300,600,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=133
134,Kuky McKay,Snacks,300,650,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=134
135,Rollo Selva,Snacks,300,700,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=135
136,Chicles Dos en Uno,Snacks,300,750,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=136
137,Gomitas Frugelé,Snacks,300,800,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=137
138,Bombones Garoto,Snacks,300,850,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=138
139,Tableta Trencito,Snacks,300,900,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=139
140,Maní Confitado Pote,Snacks,300,950,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=140
141,Chocolinas,Snacks,300,1000,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=141
142,Caramelos Anís,Snacks,300,1050,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=142
143,Koyak Surtido,Snacks,300,1100,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=143
144,Blenox,Snacks,300,1150,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=144
145,Mentitas Ambrosoli,Snacks,300,1200,60,"Golosinas de tienda chilena",https://loremflickr.com/320/240/candy?random=145
